Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Monaco,Europe,1311,33406.38,139,24,8,203.85,0,0,Sporadic cases
Turks and Caicos Islands,Americas,1193,30812.54,131,29,7,180.79,1,0,Clusters of cases
Saint Martin,Americas,1191,30807.83,145,74,12,310.41,0,0,Community transmission
Sao Tome and Principe,Africa,1182,5393.34,57,11,17,77.57,0,0,Community transmission
Barbados,Americas,1156,4022.62,120,0,9,31.32,2,0,Clusters of cases
Seychelles,Africa,972,9883.37,346,106,3,30.5,2,0,Clusters of cases
Bhutan,South-East Asia,851,1102.89,14,0,1,1.3,0,0,Clusters of cases
Papua New Guinea,Western Pacific,844,94.33,10,0,9,1.01,0,0,Community transmission
Saint Lucia,Americas,755,4111.6,212,37,8,43.57,2,0,Sporadic cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Saint Vincent and the Grenadines,Americas,690,6219.58,302,35,2,18.03,2,0,Clusters of cases
Bermuda,Americas,686,11016.01,19,2,12,192.7,0,0,Sporadic cases
Faroe Islands,Europe,652,13342.88,4,0,1,20.46,0,0,Sporadic cases
Mauritius,Africa,556,437.19,9,0,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Cambodia,Western Pacific,456,27.27,20,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,432,5080.44,15,0,25,294.01,0,0,No cases
Cayman Islands,Americas,382,5812.54,14,1,2,30.43,0,0,Sporadic cases
Saint Barthélemy,Americas,376,38037.43,152,95,0,0,0,0,Sporadic cases
Bonaire,Americas,350,16734.4,21,1,3,143.44,0,0,Community transmission
Guernsey,Europe,310,4905.37,2,0,13,205.71,0,0,Community transmission
Antigua and Barbuda,Americas,192,1960.6,8,2,6,61.27,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,175,400.02,1,1,3,6.86,0,0,Sporadic cases
Grenada,Americas,147,1306.4,8,8,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,129,2241.26,1,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,121,4001.72,0,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,113,1569.64,4,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,64,48.54,12,11,0,0,0,0,Sporadic cases
Fiji,Western Pacific,55,61.35,2,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,44,154.12,3,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,43,5.91,2,2,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,35,657.99,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,34,9761.7,2,2,0,0,0,0,No cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,6371.46,1,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,1,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Samoa,Western Pacific,2,10.08,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,1,8.69,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
